"";"ProbeNr";"Datum der Entnahme";"Uhrzeit der Entnahme";"Probe Valide";"Kläranlagen-ID";"Name der Kläranlage";"Probenbegleitschein vollständig";"Genkopien im Durchschnitt (Gq/ml)";"Genkopien N1/ml";"Genkopien N2/ml";"Anteil Genkopien Durchschnitt zu PMMoV x100.000";"Probennahme (Anfangs )Zeit";"Probennahme (End )Zeit";"Probennahmeart";"Probenvolumen (ml)";"Gesamt-Volumen (Liter) der Mischprobe vor Abfüllung (geschätzt)";"Temperatur des Rohabwassers (Grad Celsius)";"Leitfähigkeit des Rohabwassers (uS/cm)";"pH-Wert des Rohabwassers";"NH4-Konzentration";"Volumenstrom (m3/d)";"Niederschläge am Vortag der Probenentnahme (mm)";"Niederschläge am Probenentnahmetag (mm)";"Lufttemperatur am Probenentnahmetag (Grad Celsius)";"Chemischer Sauerstoffbedarf CSB (mg/l)";"Total Organic Carbon TOC (mg/l)"
"376";31584;2023-01-03;" 08:00:00";" ja";22449;" Worms";" ja";" 347";" 235";" 459";" 89.7";2023-01-02 08:00:00;2023-01-03 08:00:00;" MP";" 1000";" 12";" 13.8";" 1897";" 7.9";" 59.5";" 19713";" 0";" 0";" nicht messbar";" 934";" nicht messbar"
"377";31585;2023-01-02;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 403.5";" 242";" 565";" 133";2023-01-02 00:00:00;2023-01-02 00:00:00;" MP";" 1000";" 4.5";" 14.2";" 1";" 8.26";" 32.1";" 23860";" 0";" 2";" nicht messbar";" 467";" 111"
"378";31586;2023-01-02;" 00:00:00";" ja";23128;" Speyer";" ja";" 481";" 365";" 597";" 85";2023-01-02 00:00:00;2023-01-02 00:00:00;" MP";" 1000";" 3";" 15.7";" 1975";" 7.78";" 69.6";" 11435";" nicht messbar";" 0";" nicht messbar";" 627";" nicht messbar"
"379";31587;2023-01-02;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 167";" 87";" 247";" 143";2023-01-02 00:00:00;2023-01-02 00:00:00;" MP";" 1000";" 8";" 11.1";" 806";" 7.93";" 22.3";" 21166";" 0";" 4";" nicht messbar";" 388";" 166"
"380";31588;2023-01-03;" 08:00:00";" ja";19985;" Andernach";" ja";" 262.5";" 160";" 365";" 103";2023-01-02 08:00:00;2023-01-03 08:00:00;" MP";" 1000";" 14";" 13.3";" 1858";" 7.9";" nicht messbar";" 9252";" 0";" 0";" nicht messbar";" nicht messbar";" nicht messbar"
"381";31591;2023-01-02;" 00:00:00";" ja";22431;" Koblenz";" ja";" 347.5";" 234";" 461";" 107";2023-01-02 00:00:00;2023-01-02 00:00:00;" MP";" 1000";" 5";" 13.4";" 1300";" 7.9";" 43.4";" 27348";" 0";" 1";" 12.1";" 797";" 197"
"382";31592;2023-01-03;" 08:10:00";" ja";22439;" Mainz";" ja";" 307.5";" 209";" 406";" 99.2";2023-01-02 00:00:00;2023-01-02 00:00:00;" MP";" 1000";" 6";" 6";" 1452";" 7.6";" nicht messbar";" 47680";" nicht messbar";" nicht messbar";" 7.3";" 732";" 281"
"383";31648;2023-01-03;" 08:00:00";" ja";22448;" Trier";" ja";" 241";" 152";" 330";" 75.1";2023-01-02 08:00:00;2023-01-03 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 661";" 7.3";" nicht messbar";" 31844";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"384";31649;2023-01-02;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" nein";" 341";" 200";" 482";" 131";NA;NA;" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA"
"385";31650;2023-01-02;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" nein";" 434.5";" 244";" 625";" 184";NA;NA;" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA"
"386";31681;2023-01-04;" 00:00:00";" ja";22425;" Germersheim";" ja";" 481.5";" 283";" 680";" 109";2023-01-04 00:00:00;2023-01-05 00:00:00;" MP";" 100";" 24";" 14.5";" 124.97";" 7.65";" 77.6";" 5604";" 0";" 0";" 5.7";" 703";" nicht messbar"
"387";31682;2023-01-03;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 51.5";" 23";" 80";" 151";2023-01-03 18:00:00;2023-01-04 18:00:00;" MP";" 2000";" 20";" 25";" nicht messbar";" 7";" nicht messbar";" 254384";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" 220"
"388";31683;2023-01-05;" 08:00:00";" ja";22448;" Trier";" ja";" 482.5";" 289";" 676";" 222";2023-01-04 08:00:00;2023-01-05 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 654";" 7.4";" nicht messbar";" 29259";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"389";31684;2023-01-05;" 08:00:00";" ja";22438;" Landau";" ja";" 391";" 169";" 613";" 188";2023-01-04 08:00:00;2023-01-05 08:00:00;" MP";" 1000";" 4";" 12.3";" nicht messbar";" 7.9";" 47.2";" 19343";" 0";" 0";" 9";" 626";" nicht messbar"
"390";31685;2023-01-05;" 08:00:00";" ja";22449;" Worms";" nein";" 402";" 259";" 545";" 99.3";2023-01-04 08:00:00;2023-01-05 08:00:00;" MP";" 1000";" 12";" 13.3";" 1415";" nicht messbar";" 52";" NA";" NA";" NA";" NA";" 908";" nicht messbar"
"391";31686;2023-01-04;" 00:00:00";" ja";23128;" Speyer";" ja";" 1052";" 824";" 1280";" 357";2023-01-04 00:00:00;2023-01-05 00:00:00;" MP";" 1000";" 3";" 15.3";" 2022";" 7.74";" 69.9";" 11847";" nicht messbar";" 0";" nicht messbar";" 578";" nicht messbar"
"392";31687;2023-01-04;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 384";" 229";" 539";" 209";2023-01-04 00:00:00;2023-01-05 00:00:00;" MP";" 1000";" 8";" 11.1";" 834";" 7.97";" 34.7";" 19461";" 0";" 5";" nicht messbar";" 531";" 190"
"393";31688;2023-01-05;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 404";" 255";" 553";" 159";2023-01-04 00:00:00;2023-01-05 00:00:00;" MP";" 1000";" 5";" 12";" 522";" 7.48";" 18.48";" 59183";" nicht messbar";" nicht messbar";" nicht messbar";" 288";" 86.26"
"394";31689;2023-01-04;" 00:00:00";" ja";22431;" Koblenz";" ja";" 417.5";" 267";" 568";" 192";2023-01-04 00:00:00;2023-01-05 00:00:00;" EP";" 1000";" 5";" 13.7";" 1400";" 7.8";" 44.6";" 25312";" 0";" 0";" 10.8";" 645";" 190"
"395";31690;2023-01-05;" 07:55:00";" ja";22439;" Mainz";" ja";" 558.5";" 356";" 761";" 152";2023-01-04 00:00:00;2023-01-05 00:00:00;" MP";" 1000";" 6";" 6";" 1800";" 7.7";" nicht messbar";" 44685";" nicht messbar";" nicht messbar";" 7.3";" 771";" 231"
"396";31691;2023-01-05;" 08:00:00";" ja";19985;" Andernach";" ja";" 386";" 232";" 540";" 151";2023-01-04 08:00:00;2023-01-05 08:00:00;" MP";" 1000";" 15";" 13.2";" 1995";" 7.8";" nicht messbar";" 9187";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"397";31694;2023-01-04;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 369";" 246";" 492";" 126";2023-01-04 00:00:00;2023-01-04 00:00:00;" MP";" 1000";" 4.5";" 13.2";" 0.71";" 8.21";" 38.1";" 18900";" 0";" 4";" nicht messbar";" 576";" 139"
"398";31695;2023-01-05;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 802.5";" 565";" 1040";" 357";2023-01-04 00:00:00;2023-01-04 00:00:00;" MP";" 1000";" 12";" 11.1";" 728";" 8.6";" nicht messbar";" 15210";" nicht messbar";" 4";" nicht messbar";" nicht messbar";" nicht messbar"
"399";31696;2023-01-04;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" nein";" 357";" 185";" 529";" 175";NA;NA;" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA"
"400";31745;2023-01-10;" 07:30:00";" ja";20027;" Bad Kreuznach";" ja";" 182";" 99";" 265";" 189";2023-01-09 00:00:00;2023-01-09 23:59:00;" MP";" 1000";" 3.5";" 13.6";" 0.94";" 7.4";" 17.4";" 44990";" 4";" nicht messbar";" 4.4";" 298";" 82.3"
"401";31746;2023-01-09;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 5";" 10";" 0";" 34.7";2023-01-08 18:00:00;2023-01-09 18:00:00;" MP";" 1000";" 20";" 23";" nicht messbar";" 7";" nicht messbar";" 273435";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" 260"
"402";31747;2023-01-10;" 08:00:00";" ja";19985;" Andernach";" ja";" 195";" 108";" 282";" 391";2023-01-09 08:00:00;2023-01-10 08:00:00;" MP";" 1000";" 15";" 11.8";" 1021";" 7.9";" nicht messbar";" 22648";" 8";" 5";" nicht messbar";" nicht messbar";" nicht messbar"
"403";31750;2023-01-09;" 23:59:00";" ja";22425;" Germersheim";" ja";" 217";" 153";" 281";" 116";2023-01-09 00:00:00;2023-01-09 23:59:00;" MP";" 100";" 24";" 13.4";" 84.48";" 7.85";" 24.7";" 8403";" 5";" 2";" 6.2";" 234";" nicht messbar"
"404";31751;2023-01-10;" 00:01:00";" ja";22430;" Kaiserslautern";" ja";" 121";" 79";" 163";" 221";2023-01-09 00:00:00;2023-01-09 23:59:00;" MP";" 1000";" 5";" 12";" 732";" 7.5";" 11.25";" 90308";" 4";" 1";" nicht messbar";" 188";" 58.79"
"405";31752;2023-01-09;" 23:59:00";" ja";22431;" Koblenz";" ja";" 138.5";" 109";" 168";" 99.6";2023-01-09 00:00:00;2023-01-09 23:59:00;" MP";" 1000";" 5";" 12.9";" 900";" 7.5";" 23.2";" 59856";" 1";" 7";" 7.7";" 806";" 223"
"406";31753;2023-01-10;" 08:00:00";" ja";22438;" Landau";" ja";" 161";" 143";" 179";" 424";2023-01-09 08:00:00;2023-01-10 08:00:00;" MP";" 1000";" 5";" 12.5";" nicht messbar";" 7.8";" 37.7";" 19606";" 1";" 0";" 6";" 574";" nicht messbar"
"407";31755;2023-01-10;" 08:20:00";" ja";22439;" Mainz";" ja";" 199";" 145";" 253";" 159";2023-01-09 00:00:00;2023-01-09 23:59:00;" MP";" 1000";" 6";" 6";" 993";" 7.7";" nicht messbar";" 87360";" nicht messbar";" nicht messbar";" 5.9";" 494";" 178"
"408";31759;2023-01-10;" 08:00:00";" ja";22448;" Trier";" ja";" 94";" 73";" 115";" 121";2023-01-09 08:00:00;2023-01-10 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 480";" 7.4";" nicht messbar";" 44539";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"409";31760;2023-01-09;" 23:59:00";" ja";23128;" Speyer";" ja";" 233.5";" 168";" 299";" 299";2023-01-09 00:00:00;2023-01-09 23:59:00;" MP";" 1000";" 6";" 13.7";" 788";" 7.46";" 30";" 25336";" nicht messbar";" 6";" 4.1";" 345";" nicht messbar"
"410";31761;2023-01-09;" 23:59:00";" ja";22459;" Zweibrücken";" ja";" 63.5";" 39";" 88";" 110";2023-01-09 00:00:00;2023-01-09 23:59:00;" MP";" 1000";" 8";" 9.82";" 482";" 7.8";" 11.6";" 33606";" 10";" 9";" nicht messbar";" 246";" 96.5"
"411";31781;2023-01-09;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 154.5";" 87";" 222";" 146";2023-01-09 00:00:00;2023-01-10 00:00:00;" MP";" 1000";" 8";" 10.1";" 483";" 7.5";" nicht messbar";" 26490";" 6";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"412";31782;2023-01-10;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 363";" 169";" 557";" 723";2023-01-09 00:00:00;2023-01-10 00:00:00;" MP";" 2000";" 9";" 10.6";" 611";" 8.9";" nicht messbar";" 10870";" 5";" 0";" 4";" nicht messbar";" nicht messbar"
"413";31783;2023-01-09;" 08:00:00";" ja";22449;" Worms";" ja";" 146.5";" 97";" 196";" 62.1";2023-01-09 08:00:00;2023-01-10 08:00:00;" MP";" 1000";" 12";" 12.2";" 1170";" 7.9";" 38.6";" 22565";" 3";" 3";" nicht messbar";" 667";" nicht messbar"
"414";31864;2023-01-10;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 25";" 6";" 44";" 89.3";2023-01-10 18:00:00;2023-01-11 18:00:00;" MP";" 2000";" 20";" 23";" nicht messbar";" 7";" nicht messbar";" 273696";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" 260"
"415";31867;2023-01-11;" 00:00:00";" ja";22425;" Germersheim";" ja";" 217.5";" 185";" 250";" 419";2023-01-11 00:00:00;2023-01-11 23:59:00;" MP";" 100";" 24";" 14";" 84.32";" 7.99";" 71.3";" 11727";" 0";" 4";" 6.9";" 1355";" nicht messbar"
"416";31868;2023-01-12;" 08:15:00";" ja";22439;" Mainz";" ja";" 274";" 191";" 357";" 329";2023-01-11 00:00:00;2023-01-11 23:59:00;" MP";" 1000";" 6";" 6";" 1051";" 7.8";" nicht messbar";" 85581";" nicht messbar";" nicht messbar";" 6.4";" 427";" 170"
"417";31869;2023-01-11;" 08:00:00";" ja";19985;" Andernach";" ja";" 98.5";" 77";" 120";" 155";2023-01-11 08:00:00;2023-01-12 08:00:00;" MP";" 1000";" 18";" 12";" 1577";" 8.2";" nicht messbar";" 14813";" 7";" 2";" nicht messbar";" nicht messbar";" nicht messbar"
"418";31870;2023-01-11;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 79.5";" 57";" 102";" 114";2023-02-11 00:00:00;2023-02-11 23:59:00;" MP";" 1000";" 8";" 10.3";" 628";" 7.8";" 15.7";" 28298";" 1";" 7";" nicht messbar";" 272";" 112"
"419";31873;2023-01-12;" 07:15:00";" ja";20027;" Bad Kreuznach";" ja";" 172";" 96";" 248";" 208";2023-01-11 00:00:00;2023-01-11 23:59:00;" MP";" 1000";" 3.5";" 13.5";" 0.96";" 8.12";" 23.6";" 24500";" 1";" nicht messbar";" 8.5";" 641";" 155"
"420";31874;2023-01-11;" 00:00:00";" ja";22431;" Koblenz";" ja";" 139";" 83";" 195";" 93.9";2023-01-11 00:00:00;2023-01-11 23:59:00;" MP";" 1000";" 5";" 13.1";" 900";" 7.7";" 24.8";" 50984";" 2";" 4";" 9.6";" 569";" 161"
"421";31875;2023-01-12;" 08:00:00";" ja";22438;" Landau";" ja";" 137";" 83";" 191";" 108";2023-01-11 08:00:00;2023-01-12 08:00:00;" MP";" 1000";" 5";" 12.5";" nicht messbar";" 7.7";" 26.3";" 40111";" 6";" nicht messbar";" 7";" 401";" nicht messbar"
"422";31877;2023-01-12;" 08:00:00";" ja";22448;" Trier";" ja";" 75.5";" 43";" 108";" 67.4";2023-01-11 08:00:00;2023-01-12 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 469";" 7.6";" nicht messbar";" 44617";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"423";31878;2023-01-12;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 231.5";" 144";" 319";" 232";2023-01-11 00:00:00;2023-01-11 23:59:00;" MP";" 1000";" 5";" 12";" 598";" 7.56";" 12.59";" 100007";" 0";" 6";" nicht messbar";" 165";" 47.98"
"424";31879;2023-01-11;" 00:00:00";" ja";23128;" Speyer";" ja";" 240.5";" 133";" 348";" 95.1";2023-01-11 00:00:00;2023-01-11 23:59:00;" MP";" 1000";" 5";" 14.6";" 1450";" 7.78";" 41";" 18630";" nicht messbar";" 2";" 6.1";" 451";" nicht messbar"
"425";31933;NA;" NA";" ja";22449;" Worms";" nein";" 173.5";" 116";" 231";" 92.8";NA;NA;" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA";" NA"
"426";31934;2023-06-01;" 08:30:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 84.5";" 78";" 91";" 109";2023-05-31 00:00:00;2023-05-31 23:59:00;" MP";" 1000";" 12";" 14.3";" 1140";" 7.3";" 47";" 5300";" 0";" 0";" nicht messbar";" nicht messbar";" nicht messbar"
"427";31935;2023-01-12;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 72.5";" 53";" 92";" 91.5";2023-01-11 00:00:00;2023-01-12 00:00:00;" MP";" 1000";" 5";" 10.5";" 483";" 7.21";" nicht messbar";" 24340";" 8";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"428";31936;2023-01-12;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 153";" 80";" 226";" 131";2023-01-11 00:00:00;2023-01-12 00:00:00;" MP";" 2000";" 12";" 11";" 493";" 7.8";" nicht messbar";" 11070";" 7";" 0";" 8";" nicht messbar";" nicht messbar"
"429";32014;2023-01-15;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 15";" 6";" 24";" 186";2023-01-15 18:00:00;2023-01-16 18:00:00;" MP";" 2000";" 20";" 19";" nicht messbar";" 7";" nicht messbar";" 297764.7";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" 290"
"430";32016;2023-01-17;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 89";" 45";" 133";" 222";2023-01-16 00:00:00;2023-01-16 23:59:00;" MP";" 1000";" 5";" 11.4";" 646";" 7.65";" 9.82";" 110304";" 9";" 5";" nicht messbar";" 194";" 56.47"
"431";32017;2023-01-16;" 00:00:00";" ja";23128;" Speyer";" ja";" 245";" 144";" 346";" 278";2023-01-16 00:00:00;2023-01-16 23:59:00;" MP";" 1000";" 5";" 14.1";" 1441";" 7.6";" 41";" 200002";" nicht messbar";" 2";" nicht messbar";" 472";" nicht messbar"
"432";32046;2023-01-16;" 00:00:00";" ja";22425;" Germersheim";" ja";" 163";" 100";" 226";" 103";2023-01-16 00:00:00;2023-01-16 23:59:00;" MP";" 100";" 24";" 14";" 116.18";" 8.08";" 38.5";" 8996";" 2";" 2";" 3.2";" 519";" nicht messbar"
"433";32047;2023-01-17;" 07:20:00";" ja";22439;" Mainz";" ja";" 337.5";" 169";" 506";" 361";2023-01-16 00:00:00;2023-01-16 23:59:00;" MP";" 1000";" 6";" 6";" 1153";" 7.8";" nicht messbar";" 72320";" nicht messbar";" nicht messbar";" 4";" 520";" 153"
"434";32048;2023-01-17;" 07:00:00";" ja";22447;" Montabaur, GKA";" ja";" 99";" 22";" 176";" 556";2023-01-16 00:00:00;2023-01-16 23:59:00;" MP";" 1000";" 7";" 9.5";" 495";" 7.47";" 5.26";" 26240";" 15";" 6";" nicht messbar";" 94";" nicht messbar"
"435";32049;2023-01-16;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 18";" 20";" 16";" 59.8";2023-01-16 00:00:00;2023-01-16 23:59:00;" MP";" 1000";" 8";" 9.7";" 456";" 7.99";" 9.94";" 32530";" 6";" nicht messbar";" nicht messbar";" 106";" 66.4"
"436";32050;2023-01-16;" 08:00:00";" ja";19985;" Andernach";" ja";" 94.5";" 45";" 144";" 61";2023-01-16 08:00:00;2023-01-17 08:00:00;" MP";" 1000";" 18";" 12.1";" 1218";" 8";" nicht messbar";" 18846";" 0";" 2";" nicht messbar";" nicht messbar";" nicht messbar"
"437";32051;2023-01-17;" 08:00:00";" ja";22448;" Trier";" ja";" 108";" 45";" 171";" 353";2023-01-16 08:00:00;2023-01-17 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 479";" 7.6";" nicht messbar";" 48160";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"438";32052;2023-01-17;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 61";" 26";" 96";" 96.2";2023-01-16 00:00:00;2023-01-17 00:00:00;" MP";" 1000";" 3.5";" 11.2";" 0.62";" 7.94";" 10.1";" 59290";" 4";" 5";" nicht messbar";" 215";" 61.5"
"439";32053;2023-01-16;" 00:00:00";" ja";22431;" Koblenz";" ja";" 139";" 63";" 215";" 94.6";2023-01-16 00:00:00;2023-01-16 23:59:00;" MP";" 1000";" 5";" 12.4";" 900";" 8.1";" 22.5";" 50652";" 12";" 1";" 5.8";" 519";" 140"
"440";32054;2023-01-17;" 08:00:00";" ja";22438;" Landau";" ja";" 97.5";" 54";" 141";" 411";2023-01-16 08:00:00;2023-01-17 08:00:00;" MP";" 1000";" 8";" 9.2";" nicht messbar";" 7.6";" 16.4";" 39363";" 6";" nicht messbar";" 4";" 194";" nicht messbar"
"441";32055;2023-01-17;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 97";" 39";" 155";" 429";2023-01-16 00:00:00;2023-01-17 00:00:00;" MP";" 1000";" nicht messbar";" 9.8";" 560";" 7.55";" nicht messbar";" 25370";" 7";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"442";32056;2023-01-16;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 117";" 53";" 181";" 212";2023-01-16 00:00:00;2023-01-17 00:00:00;" MP";" 2000";" 5";" 10";" 429";" 7.8";" nicht messbar";" 11110";" 7";" 0";" 0";" nicht messbar";" nicht messbar"
"443";32057;2023-01-11;" 00:00:00";" ja";22449;" Worms";" ja";" 154.5";" 106";" 203";" 138";2023-01-11 08:00:00;2023-01-12 08:00:00;" MP";" 1000";" 12";" 13.7";" 1275";" 7.8";" 38.2";" 29847";" 2";" 0";" 11";" 735";" nicht messbar"
"444";32059;2023-01-17;" 18:00:00";" ja";25315;" BASF Ludwigshafen";" ja";" 24.5";" 5";" 44";" 114";2023-01-17 18:00:00;2023-01-18 18:00:00;" MP";" 2000";" 20";" 23";" nicht messbar";" 7";" nicht messbar";" 269990";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" 350"
"445";32060;2023-01-19;" 00:00:00";" ja";22447;" Montabaur, GKA";" ja";" 79.5";" 26";" 133";" 171";2023-01-18 00:00:00;2023-01-18 23:59:00;" MP";" 1000";" 7";" 9.4";" 545";" 7.46";" 7.82";" 22210";" 1";" 0";" nicht messbar";" 165";" nicht messbar"
"446";32061;2023-01-18;" 00:00:00";" ja";23128;" Speyer";" ja";" 561.5";" 335";" 788";" 125";2023-01-18 00:00:00;2023-01-18 23:59:00;" MP";" 1000";" 3";" 14.7";" 1603";" 7.64";" 66";" 11862";" nicht messbar";" 0";" nicht messbar";" 507";" nicht messbar"
"447";32062;2023-01-18;" 00:00:00";" ja";22459;" Zweibrücken";" ja";" 74.5";" 26";" 123";" 75";2023-01-18 00:00:00;2023-01-18 23:59:00;" MP";" 1000";" 8";" 9.7";" 838";" 8.12";" 20.4";" 18099";" 2";" nicht messbar";" nicht messbar";" 264";" 75.15"
"448";32063;2023-01-19;" 08:00:00";" ja";22448;" Trier";" ja";" 192.5";" 106";" 279";" 107";2023-01-18 08:00:00;2023-01-19 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 793";" 7.5";" nicht messbar";" 41562";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"449";32064;2023-01-18;" 18:00:00";" ja";19985;" Andernach";" ja";" 193";" 68";" 318";" 105";2023-01-18 18:00:00;2023-01-19 18:00:00;" MP";" 1000";" 14";" 12.6";" 1881";" 7.9";" nicht messbar";" 10167";" 0";" 0";" nicht messbar";" nicht messbar";" nicht messbar"
"450";32065;2023-01-19;" 00:00:00";" ja";22430;" Kaiserslautern";" ja";" 96.5";" 49";" 144";" 145";2023-01-18 00:00:00;2023-01-18 23:59:00;" MP";" 1000";" 5";" 11.8";" 821";" 7.62";" 16.7";" 60194";" 0";" 0";" nicht messbar";" 208";" 65.23"
"451";32066;2023-01-19;" 07:55:00";" ja";22439;" Mainz";" ja";" 440.5";" 245";" 636";" 165";2023-01-18 00:00:00;2023-01-18 23:59:00;" MP";" 1000";" 6";" nicht messbar";" 1704";" 7.8";" nicht messbar";" 45709";" nicht messbar";" nicht messbar";" -0.6";" 804";" 240"
"452";32067;2023-01-18;" 00:00:00";" ja";22431;" Koblenz";" ja";" 294";" 137";" 451";" 148";2023-01-18 00:00:00;2023-01-18 23:59:00;" MP";" 1000";" 5";" 12.7";" 1000";" 8";" 23.5";" 40092";" 0";" 0";" 0.2";" 508";" 134"
"453";32068;2023-01-18;" 00:00:00";" ja";22425;" Germersheim";" ja";" 697.5";" 427";" 968";" 517";2023-01-18 00:00:00;2023-01-18 23:59:00;" MP";" 100";" 24";" 14.3";" 104.98";" 8";" 52";" 7554";" 1";" 1";" -0.3";" 455";" nicht messbar"
"454";32092;2023-01-19;" 00:00:00";" ja";22386;" Pirmasens-Blümelstal";" ja";" 220";" 90";" 350";" 112";2023-01-18 00:00:00;2023-01-19 00:00:00;" MP";" 1000";" 12";" 10.6";" 814";" 8.4";" nicht messbar";" 13250";" nicht messbar";" 0";" nicht messbar";" nicht messbar";" nicht messbar"
"455";32093;2023-01-19;" 00:00:00";" ja";22387;" Pirmasens-Felsalbe";" ja";" 242.5";" 82";" 403";" 713";2023-01-18 00:00:00;2023-01-19 00:00:00;" MP";" 2000";" 5";" 10.4";" 633";" 8.8";" 17.8";" 6230";" 0";" 0";" 0";" 221";" nicht messbar"
"456";32094;2023-01-16;" 00:00:00";" ja";22449;" Worms";" ja";" 154.5";" 106";" 203";" 138";2023-01-16 08:00:00;2023-01-17 08:00:00;" MP";" 1000";" 12";" 12.1";" 1071";" 8.1";" 29.9";" 35255";" 3";" 2";" nicht messbar";" 551";" nicht messbar"
"457";32095;2023-01-19;" 00:00:00";" ja";22449;" Worms";" ja";" 294.5";" 178";" 411";" 57.7";2023-01-18 08:00:00;2023-01-19 08:00:00;" MP";" 1000";" 12";" 13.1";" 1591";" 8";" 55.7";" 19955";" 0";" 0";" nicht messbar";" 810";" NA"
"458";32096;2023-01-19;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 182";" 60";" 304";" 307";2023-01-18 00:00:00;2023-01-19 00:00:00;" MP";" 1000";" 3.5";" 12.3";" 0.85";" 8.14";" 17";" 31250";" nicht messbar";" nicht messbar";" 1.2";" 380";" 111"
"459";32097;2023-01-19;" 08:00:00";" ja";22438;" Landau";" ja";" 309";" 132";" 486";" 114";2023-01-18 08:00:00;2023-01-19 08:00:00;" MP";" 1000";" 4";" 11.8";" nicht messbar";" 8.1";" 16.1";" 15698";" 1";" nicht messbar";" -2";" 373";" nicht messbar"
"460";32107;2023-01-24;" 08:00:00";" ja";22448;" Trier";" ja";" 181.5";" 109";" 254";" 130";2023-01-23 08:00:00;2023-01-24 08:00:00;" MP";" 1000";" 5";" nicht messbar";" 687";" 7.6";" nicht messbar";" 32349";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar";" nicht messbar"
"461";32108;2023-01-24;" 00:00:00";" ja";20027;" Bad Kreuznach";" ja";" 328";" 153";" 503";" 1988";2023-01-23 00:00:00;2023-01-24 00:00:00;" MP";" 1000";" 3.5";" 13";" 0.91";" 8.28";" 20.1";" 28790";" nicht messbar";" nicht messbar";" 2.2";" 402";" 92.1"
"462";32109;2023-01-23;" 00:00:00";" ja";22425;" Germersheim";" ja";" 292";" 202";" 382";" 163";2023-01-23 00:00:00;2023-01-23 23:59:00;" MP";" 100";" 24";" 13";" 90.78";" 7.93";" 32.2";" 8522";" 1";" 0";" -0.9";" 404";" nicht messbar"
